initial_trust_mean,mobility,ddem_size,share_trusting,avg_final_trust,std_final_trust,avg_ddem_occupancy,avg_refused_interactions
0.5,1,0,0.0,0.0,0.0,0.0,0.0
0.5,1,5,0.0,0.0,0.0,1.9825333333333333,6162.55
0.5,1,10,0.0,0.0,0.0,2.3094333333333332,6639.2
0.5,1,15,0.0,0.0,0.0,2.3230999999999997,6655.6
0.5,2,0,0.0,0.0,0.0,0.0,0.0
0.5,2,5,0.0,0.0,0.0,2.085366666666667,4020.35
0.5,2,10,0.0,0.0,0.0,2.5047000000000006,4406.25
0.5,2,15,0.0,0.0,0.0,2.5261333333333336,4421.55
0.5,5,0,0.0,0.0,0.0,0.0,0.0
0.5,5,5,0.0,0.0,0.0,2.1223333333333327,2455.9
0.5,5,10,0.0,0.0,0.0,2.6016000000000004,2742.7
0.5,5,15,0.0,0.0,0.0,2.634033333333333,2761.55
0.5,10,0,0.0,0.0,0.0,0.0,0.0
0.5,10,5,0.0,0.0,0.0,2.164133333333333,1880.55
0.5,10,10,0.0,0.0,0.0,2.689433333333333,2142.95
0.5,10,15,0.0,0.0,0.0,2.716266666666667,2155.45
