share_untrustworthy,mobility,share_trusting,avg_final_trust
30,1,1.0,0.9997333333333334
35,1,1.0,0.9871000000000001
40,1,0.2,0.4783666666666667
45,1,0.0,0.03
50,1,0.0,0.0
55,1,0.0,0.0
60,1,0.0,0.0
30,2,1.0,1.0
35,2,1.0,0.9999
40,2,0.75,0.8315999999999999
45,2,0.0,0.0036666666666666666
50,2,0.0,0.0
55,2,0.0,0.0
60,2,0.0,0.0
30,5,1.0,1.0
35,5,1.0,0.9999666666666667
40,5,1.0,0.9950999999999999
45,5,0.1,0.12626666666666667
50,5,0.0,0.0
55,5,0.0,0.0
60,5,0.0,0.0
30,10,1.0,0.9999666666666667
35,10,1.0,1.0
40,10,0.95,0.9498666666666666
45,10,0.15,0.14993333333333334
50,10,0.0,0.0
55,10,0.0,0.0
60,10,0.0,0.0
